domain,symptom,n_present,prevalence,rate_correct,rate_incorrect,diff_incorrect_minus_correct,spearman_rho_vs_correct,spearman_pval_vs_correct
math,repair_without_recovery,11,0.4782608695652174,0.4166666666666667,0.5454545454545454,0.12878787878787873,-0.1287878787878788,0.5581116062341263
math,variable_binding_drift,6,0.2608695652173913,0.25,0.2727272727272727,0.022727272727272707,-0.025854384499750957,0.9067825996615458
math,assumption_drift,4,0.17391304347826086,0.16666666666666666,0.18181818181818182,0.015151515151515166,-0.019968076595771794,0.9279440947274477
math,case_split_instability,0,0.0,0.0,0.0,0.0,,
math,subgoal_frame_loss,0,0.0,0.0,0.0,0.0,,
math,invariant_drift,0,0.0,0.0,0.0,0.0,,
