domain,symptom,n_present,prevalence,rate_correct,rate_incorrect,diff_incorrect_minus_correct,spearman_rho_vs_correct,spearman_pval_vs_correct
science,mechanism_frame_swap,21,0.875,0.8333333333333334,0.9166666666666666,0.08333333333333326,-0.1259881576697424,0.5574658848869037
science,repair_without_recovery,19,0.7916666666666666,0.8333333333333334,0.75,-0.08333333333333337,0.1025978352085154,0.6333229661303192
science,constraint_mismatch,11,0.4583333333333333,0.5833333333333334,0.3333333333333333,-0.25000000000000006,0.2508726030021272,0.23703236022618182
science,evidence_misread,5,0.20833333333333334,0.16666666666666666,0.25,0.08333333333333334,-0.1025978352085154,0.6333229661303192
science,entity_binding_drift,2,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,1.0
science,unit_scale_slip,1,0.041666666666666664,0.0,0.08333333333333333,0.08333333333333333,-0.20851441405707474,0.3281832618806708
