domain,symptom,n_present,prevalence,rate_correct,rate_incorrect,diff_incorrect_minus_correct,spearman_rho_vs_correct,spearman_pval_vs_correct
science,entity_binding_drift,6,0.375,0.375,0.375,0.0,0.0,1.0
science,mechanism_frame_swap,4,0.25,0.125,0.375,0.25,-0.2886751345948129,0.2782185458006808
science,repair_without_recovery,4,0.25,0.375,0.125,-0.25,0.2886751345948129,0.2782185458006808
science,constraint_mismatch,2,0.125,0.0,0.25,0.25,-0.3779644730092273,0.14890387474453956
science,evidence_misread,1,0.0625,0.125,0.0,-0.125,0.25819888974716115,0.33428194339465755
science,unit_scale_slip,0,0.0,0.0,0.0,0.0,,
