domain,symptom,n_present,prevalence,rate_correct,rate_incorrect,diff_incorrect_minus_correct,spearman_rho_vs_correct,spearman_pval_vs_correct
math,repair_without_recovery,15,0.6521739130434783,0.5,0.8181818181818182,0.31818181818181823,-0.33371190623595737,0.1196668495869639
math,variable_binding_drift,10,0.43478260869565216,0.3333333333333333,0.5454545454545454,0.2121212121212121,-0.21374668579336079,0.32742815708815387
math,assumption_drift,4,0.17391304347826086,0.16666666666666666,0.18181818181818182,0.015151515151515166,-0.019968076595771794,0.9279440947274477
math,case_split_instability,0,0.0,0.0,0.0,0.0,,
math,subgoal_frame_loss,0,0.0,0.0,0.0,0.0,,
math,invariant_drift,0,0.0,0.0,0.0,0.0,,
