domain,total_runs,n_unique_problems,parse_ok_rate,n_correct,n_incorrect,pct_correct,n_knot_present,knot_prevalence,knot_rate_correct,knot_rate_incorrect,mean_knot_severity,mean_reversal_count,spearman_rho_knot_vs_correct,spearman_pval_knot_vs_correct,spearman_rho_severity_vs_correct,spearman_pval_severity_vs_correct,degenerate_flag
math,256,64,0.9609375,130,116,0.5284552845528455,137,0.556910569105691,0.3769230769230769,0.7586206896551724,1.1056910569105691,0.5975609756097561,-0.3835717217321669,4.809877605540366e-10,-0.38232921912487,5.527888401185482e-10,0
science,256,64,0.9765625,127,123,0.508,67,0.268,0.2519685039370078,0.2845528455284553,0.536,2.66,-0.0367790426042265,0.5627178878156383,-0.0367790426042265,0.5627178878156383,0
coding,256,64,0.9921875,135,119,0.531496062992126,22,0.0866141732283464,0.0962962962962963,0.0756302521008403,0.1771653543307086,2.5,0.0366642145731868,0.5608059223179485,0.0376514157392165,0.5502958312894716,0
